minutes_since_04:00,avg_diff,avg_abs_diff,observations
0,-1.7383760638297878,3.3572962765957453,188
5,-1.472222727272728,3.4576034090909094,176
10,-0.9277670454545455,2.9575465909090908,176
15,-1.2054380116959067,3.197654385964911,171
20,-0.9448988372093023,2.944148837209301,172
25,-0.8171497109826591,3.311242196531791,173
30,-0.6776720238095242,3.2004577380952397,168
35,-0.6458437125748503,3.196478443113774,167
40,-0.676696428571429,2.942510714285713,168
45,-0.49066624999999975,2.7732787500000007,160
50,-1.001463473053892,3.0265053892215565,167
55,-1.1545209302325579,3.0824511627906976,172
60,-0.7215413173652692,2.802691017964071,167
65,-0.6807824561403506,2.785402339181285,171
70,-0.9952558139534884,2.8033604651162807,172
75,-0.8884517045454546,3.133684659090911,176
80,-1.0059942528735628,2.6539482758620685,174
85,-0.9868343195266267,2.6683964497041406,169
90,-1.046238953488372,2.8170936046511645,172
95,-0.9405789156626504,2.76272951807229,166
100,-0.7369500000000003,2.871670930232558,172
105,-1.0993994350282492,2.7144898305084757,177
110,-0.8649190476190481,2.5253476190476167,168
115,-1.117283428571429,2.705889142857141,175
120,-0.9995258620689669,2.807244252873564,174
125,-1.006171348314607,2.788817415730337,178
130,-0.9700114285714282,2.8055085714285726,175
135,-0.9178526011560697,2.785973988439306,173
140,-0.952007909604519,2.7528327683615816,177
145,-0.7730786127167633,2.7483965317919075,173
150,-0.7300451086956522,2.5929038043478254,184
155,-0.794788461538462,2.544744505494506,182
160,-0.6869464480874317,2.5279628415300537,183
165,-0.7498858638743446,2.4588492146596845,191
170,-0.38041944444444437,2.2957861111111124,180
175,-0.48174945652173884,2.268195108695654,184
180,-0.5573292792792796,2.0461040540540547,222
185,-0.6082881818181827,2.1393245454545475,220
190,-0.2573966981132078,1.9286702830188664,212
195,-0.27862558139534893,1.7827046511627906,215
200,-0.30830896226415105,1.711170283018868,212
205,-0.2972032558139536,1.621583720930231,215
210,-0.4265008810572691,1.801381938325992,227
215,-0.41009777777777795,1.8659653333333333,225
220,-0.17855560538116583,1.8183618834080721,223
225,-0.1200991228070175,1.806693859649121,228
230,-0.2693608888888889,1.9721146666666656,225
235,-0.4505085106382978,1.8907765957446792,235
240,-0.5403593525179857,1.8202816546762595,278
245,-0.4751923371647511,1.7262068965517225,261
250,-0.26789384615384637,1.6036792307692298,260
255,-0.3090136363636363,1.4687871212121222,264
260,-0.10242547528517129,1.4158429657794669,263
265,-0.12988951310861446,1.3955352059925095,267
270,-0.232736690647482,1.381223741007194,278
275,-0.1795424460431654,1.3907611510791364,278
280,-0.045259420289854926,1.2122999999999993,276
285,0.16573514492753608,1.180261956521739,276
290,0.25025381818181797,1.1824276363636361,275
295,0.10062544169611305,1.0181660777385155,283
300,0.15288877192982442,0.8508915789473684,285
305,0.24475435540069682,0.8954554006968644,287
310,0.26216460481099646,0.8199185567010309,291
315,0.15519312714776637,0.6599003436426115,291
320,0.15126941580756034,0.4640783505154646,291
325,-0.07215918367346946,0.11405850340136023,294
